study_name,cpt,wrvu,category,source
XR Chest 1 View,71045,0.18,CHEST,orbit_cme_seed
XR Chest 2 Views,71046,0.21,CHEST,orbit_cme_seed
XR Chest 3 Views,71047,0.26,CHEST,orbit_cme_seed
XR Chest 4+ Views,71048,0.30,CHEST,orbit_cme_seed
XR Ribs Unilateral 2 Views,71100,0.21,CHEST,orbit_cme_seed
XR Ribs Unilateral w/ Chest,71101,0.26,CHEST,orbit_cme_seed
XR Ribs Bilateral 3 Views,71110,0.28,CHEST,orbit_cme_seed
XR Abdomen 1 View,74018,0.18,ABDOMEN,orbit_cme_seed
XR Abdomen 2 Views,74019,0.22,ABDOMEN,orbit_cme_seed
XR Abdomen 3+ Views,74021,0.26,ABDOMEN,orbit_cme_seed
XR Abdomen Acute Series (KUB/Upright),74022,0.31,ABDOMEN,orbit_cme_seed
XR Spine Single View,72020,0.16,SPINE,orbit_cme_seed
XR C-Spine 2-3 Views,72040,0.21,SPINE,orbit_cme_seed
XR C-Spine 4-5 Views,72050,0.26,SPINE,orbit_cme_seed
XR C-Spine 6+ Views,72052,0.29,SPINE,orbit_cme_seed
XR T-Spine 2 Views,72070,0.20,SPINE,orbit_cme_seed
XR T-Spine 3 Views,72072,0.22,SPINE,orbit_cme_seed
XR T-Spine 4+ Views,72074,0.24,SPINE,orbit_cme_seed
XR L-Spine 2-3 Views,72100,0.21,SPINE,orbit_cme_seed
XR L-Spine 4+ Views,72110,0.25,SPINE,orbit_cme_seed
XR L-Spine Bending Views,72114,0.29,SPINE,orbit_cme_seed
XR Thoracolumbar 2+ Views,72080,0.20,SPINE,orbit_cme_seed
XR Entire Spine 1 View,72081,0.25,SPINE,orbit_cme_seed
XR Entire Spine 2-3 Views,72082,0.30,SPINE,orbit_cme_seed
XR Entire Spine 4-5 Views,72083,0.34,SPINE,orbit_cme_seed
XR Pelvis 1 View,72170,0.17,PELVIS/HIP,orbit_cme_seed
XR Pelvis 2+ Views,72190,0.24,PELVIS/HIP,orbit_cme_seed
XR Hip 1 View,73501,0.18,PELVIS/HIP,orbit_cme_seed
XR Hip 2-3 Views,73502,0.21,PELVIS/HIP,orbit_cme_seed
XR Hip 4+ Views,73503,0.26,PELVIS/HIP,orbit_cme_seed
XR Hips Bilateral 2 Views,73521,0.21,PELVIS/HIP,orbit_cme_seed
XR Hips Bilateral 3-4 Views,73522,0.28,PELVIS/HIP,orbit_cme_seed
XR Hips Bilateral 5+ Views,73523,0.30,PELVIS/HIP,orbit_cme_seed
XR Clavicle,73000,0.16,UPPER EXT,orbit_cme_seed
XR Scapula,73010,0.17,UPPER EXT,orbit_cme_seed
XR Shoulder 1 View,73020,0.15,UPPER EXT,orbit_cme_seed
XR Shoulder 2+ Views,73030,0.18,UPPER EXT,orbit_cme_seed
XR Acromioclavicular Joints Bilateral,73050,0.18,UPPER EXT,orbit_cme_seed
XR Humerus,73060,0.16,UPPER EXT,orbit_cme_seed
XR Elbow 2 Views,73070,0.16,UPPER EXT,orbit_cme_seed
XR Elbow 3+ Views,73080,0.17,UPPER EXT,orbit_cme_seed
XR Forearm,73090,0.16,UPPER EXT,orbit_cme_seed
XR Wrist 2 Views,73100,0.16,UPPER EXT,orbit_cme_seed
XR Wrist 3+ Views,73110,0.17,UPPER EXT,orbit_cme_seed
XR Hand 2 Views,73120,0.16,UPPER EXT,orbit_cme_seed
XR Hand 3+ Views,73130,0.17,UPPER EXT,orbit_cme_seed
XR Finger(s),73140,0.13,UPPER EXT,orbit_cme_seed
XR Femur 1 View,73551,0.16,LOWER EXT,orbit_cme_seed
XR Femur 2+ Views,73552,0.18,LOWER EXT,orbit_cme_seed
XR Knee 1-2 Views,73560,0.16,LOWER EXT,orbit_cme_seed
XR Knee 3 Views,73562,0.18,LOWER EXT,orbit_cme_seed
XR Knee 4+ Views,73564,0.21,LOWER EXT,orbit_cme_seed
XR Knees Standing Bilateral,73565,0.16,LOWER EXT,orbit_cme_seed
XR Tibia/Fibula,73590,0.16,LOWER EXT,orbit_cme_seed
XR Lower Extremity Infant,73592,0.16,LOWER EXT,orbit_cme_seed
XR Ankle 2 Views,73600,0.16,LOWER EXT,orbit_cme_seed
XR Ankle 3+ Views,73610,0.17,LOWER EXT,orbit_cme_seed
XR Foot 2 Views,73620,0.16,LOWER EXT,orbit_cme_seed
XR Foot 3+ Views,73630,0.17,LOWER EXT,orbit_cme_seed
XR Calcaneus (Heel),73650,0.16,LOWER EXT,orbit_cme_seed
XR Toe(s),73660,0.13,LOWER EXT,orbit_cme_seed
XR Mandible Partial,70100,0.18,HEAD/NECK,orbit_cme_seed
XR Mandible Complete,70110,0.24,HEAD/NECK,orbit_cme_seed
XR Facial Bones Limited,70140,0.19,HEAD/NECK,orbit_cme_seed
XR Facial Bones Complete,70150,0.25,HEAD/NECK,orbit_cme_seed
XR Nasal Bones,70160,0.17,HEAD/NECK,orbit_cme_seed
XR Orbits,70200,0.27,HEAD/NECK,orbit_cme_seed
XR Sinuses Limited,70210,0.17,HEAD/NECK,orbit_cme_seed
XR Sinuses Complete,70220,0.21,HEAD/NECK,orbit_cme_seed
XR Skull 1-2 Views,70250,0.18,HEAD/NECK,orbit_cme_seed
XR Skull 3+ Views,70260,0.27,HEAD/NECK,orbit_cme_seed
XR TMJ Open & Closed Unilateral,70328,0.18,TMJ,orbit_cme_seed
XR TMJ Open & Closed Bilateral,70330,0.23,TMJ,orbit_cme_seed
XR Soft Tissue Neck,70360,0.18,HEAD/NECK,orbit_cme_seed
CT Head w/o Contrast,70450,0.83,HEAD/NECK,orbit_cme_seed
CT Head w/ Contrast,70460,1.10,HEAD/NECK,orbit_cme_seed
CT Head w/o & w/ Contrast,70470,1.24,HEAD/NECK,orbit_cme_seed
CTA Head & Neck,70471,2.50,HEAD/NECK,orbit_cme_seed
CT Temporal Bones/Orbits w/o Contrast,70480,1.25,HEAD/NECK,orbit_cme_seed
CT Temporal Bones/Orbits w/ Contrast,70481,1.10,HEAD/NECK,orbit_cme_seed
