"friendly_exam_name","normalized_exam_name","cpt_codes","primary_cpt_code","modifier","modifier_26_wrvu","modality","body_region","contrast_status","cms_official_description","common_aliases","powerscribe_aliases","hospital_site_aliases","typical_combinations","active","created_at","updated_at"
"XR Chest 1 View","XR CHEST 1 VIEW","[""71045-26""]","71045","26","0.18","XR","Chest","not_applicable","","[""XR Chest 1 View"",""XR CHEST 1 VIEW""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR Chest 2 Views","XR CHEST 2 VIEWS","[""71046-26""]","71046","26","0.21","XR","Chest","not_applicable","","[""XR Chest 2 Views"",""XR CHEST 2 VIEWS""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR Chest 3 Views","XR CHEST 3 VIEWS","[""71047-26""]","71047","26","0.26","XR","Chest","not_applicable","","[""XR Chest 3 Views"",""XR CHEST 3 VIEWS""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR Chest 4+ Views","XR CHEST 4 VIEWS","[""71048-26""]","71048","26","0.3","XR","Chest","not_applicable","","[""XR Chest 4+ Views"",""XR CHEST 4 VIEWS""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR Ribs Unilateral 2 Views","XR RIBS UNILATERAL 2 VIEWS","[""71100-26""]","71100","26","0.21","XR","Chest","not_applicable","","[""XR Ribs Unilateral 2 Views"",""XR RIBS UNILATERAL 2 VIEWS""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR Ribs Unilateral w/ Chest","XR RIBS UNILATERAL W CHEST","[""71101-26""]","71101","26","0.26","XR","Chest","with","","[""XR Ribs Unilateral w/ Chest"",""XR RIBS UNILATERAL W CHEST""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR Ribs Bilateral 3 Views","XR RIBS BILATERAL 3 VIEWS","[""71110-26""]","71110","26","0.28","XR","Chest","not_applicable","","[""XR Ribs Bilateral 3 Views"",""XR RIBS BILATERAL 3 VIEWS""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR Abdomen 1 View","XR ABDOMEN 1 VIEW","[""74018-26""]","74018","26","0.18","XR","Abdomen","not_applicable","","[""XR Abdomen 1 View"",""XR ABDOMEN 1 VIEW""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR Abdomen 2 Views","XR ABDOMEN 2 VIEWS","[""74019-26""]","74019","26","0.22","XR","Abdomen","not_applicable","","[""XR Abdomen 2 Views"",""XR ABDOMEN 2 VIEWS""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"XR Abdomen 3+ Views","XR ABDOMEN 3 VIEWS","[""74021-26""]","74021","26","0.26","XR","Abdomen","not_applicable","","[""XR Abdomen 3+ Views"",""XR ABDOMEN 3 VIEWS""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
